Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
12/27/2021 12:00:00 AM,25 - 39 Years,102.7116083,0.755,0.632
12/27/2021 12:00:00 AM,40 - 49 Years,78.94078061,0.831,0.715
12/27/2021 12:00:00 AM,50 - 64 Years,55.96805825,0.903,0.785
12/27/2021 12:00:00 AM,65 - 74 Years,32.08989592,0.95,0.9
12/27/2021 12:00:00 AM,75+ Years,30.70477225,0.95,0.845
12/26/2021 12:00:00 AM,5 - 11 Years,43.77653189,0.234,0.145
12/26/2021 12:00:00 AM,12 - 17 Years,57.74504338,0.632,0.535
12/26/2021 12:00:00 AM,18 - 24 Years,88.24000396,0.717,0.589
12/26/2021 12:00:00 AM,25 - 39 Years,92.15149451,0.753,0.632
12/26/2021 12:00:00 AM,40 - 49 Years,69.30096257,0.83,0.714
12/26/2021 12:00:00 AM,50 - 64 Years,48.97182394,0.902,0.784
12/26/2021 12:00:00 AM,65 - 74 Years,28.52373929,0.95,0.9
12/26/2021 12:00:00 AM,75+ Years,27.41527569,0.95,0.845
12/25/2021 12:00:00 AM,5 - 11 Years,41.41768447,0.233,0.144
12/25/2021 12:00:00 AM,12 - 17 Years,54.35183681,0.632,0.534
12/25/2021 12:00:00 AM,18 - 24 Years,81.97672131,0.717,0.589
12/25/2021 12:00:00 AM,25 - 39 Years,86.42478371,0.753,0.632
12/25/2021 12:00:00 AM,40 - 49 Years,64.33206457,0.83,0.714
12/25/2021 12:00:00 AM,50 - 64 Years,45.51309566,0.902,0.784
12/25/2021 12:00:00 AM,65 - 74 Years,26.82718522,0.95,0.9
12/25/2021 12:00:00 AM,75+ Years,25.93247833,0.95,0.845
12/24/2021 12:00:00 AM,5 - 11 Years,41.46238054,0.233,0.144
12/24/2021 12:00:00 AM,12 - 17 Years,54.14739926,0.632,0.534
12/24/2021 12:00:00 AM,18 - 24 Years,81.13194162,0.717,0.589
12/24/2021 12:00:00 AM,25 - 39 Years,86.02140206,0.753,0.632
12/24/2021 12:00:00 AM,40 - 49 Years,63.62946012,0.83,0.714
12/24/2021 12:00:00 AM,50 - 64 Years,45.07629925,0.902,0.784
12/24/2021 12:00:00 AM,65 - 74 Years,26.43697779,0.95,0.9
12/24/2021 12:00:00 AM,75+ Years,25.33375069,0.95,0.845
12/23/2021 12:00:00 AM,5 - 11 Years,41.76822215,0.232,0.144
12/23/2021 12:00:00 AM,12 - 17 Years,52.94076084,0.632,0.534
12/23/2021 12:00:00 AM,18 - 24 Years,78.25061415,0.716,0.589
12/23/2021 12:00:00 AM,25 - 39 Years,83.83077159,0.752,0.631
12/23/2021 12:00:00 AM,40 - 49 Years,61.60243035,0.83,0.714
12/23/2021 12:00:00 AM,50 - 64 Years,43.91778987,0.901,0.784
12/23/2021 12:00:00 AM,65 - 74 Years,25.8126459,0.95,0.9
12/23/2021 12:00:00 AM,75+ Years,24.86752836,0.95,0.845
12/22/2021 12:00:00 AM,5 - 11 Years,39.46562147,0.23,0.142
12/22/2021 12:00:00 AM,12 - 17 Years,48.49167428,0.631,0.534
12/22/2021 12:00:00 AM,18 - 24 Years,70.00373017,0.715,0.588
12/22/2021 12:00:00 AM,25 - 39 Years,75.81654273,0.751,0.631
12/22/2021 12:00:00 AM,40 - 49 Years,55.59929009,0.828,0.714
12/22/2021 12:00:00 AM,50 - 64 Years,39.98980058,0.9,0.784
12/22/2021 12:00:00 AM,65 - 74 Years,23.82810178,0.95,0.899
12/22/2021 12:00:00 AM,75+ Years,23.16809535,0.95,0.845
12/21/2021 12:00:00 AM,5 - 11 Years,37.49547917,0.227,0.139
