indicatorDataSource,indicatorId,indicatorName,regionId,regionLevel,regionName,date,value
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-13,56.3557641
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-14,55.5489332
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-15,54.8233568
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-16,54.0544477
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-17,53.3436748
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-18,52.4298389
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-19,51.4174509
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-20,50.4534805
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-21,49.5548653
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-22,48.6110169
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-23,47.8187847
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-24,46.8584942
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-25,46.2931206
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-26,45.7335275
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-27,45.2280883
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-28,44.6868878
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-29,44.1486408
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-06-30,43.6693708
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-01,43.2503265
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-02,42.8198161
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-03,42.3041978
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-04,42.0493033
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-05,41.5139092
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-06,40.9048201
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-07,40.34575
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-08,39.8739124
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-09,39.4178172
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-10,39.1785829
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-11,38.746512
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-12,38.5617111
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-13,38.5713555
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-14,38.483024
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-15,38.37523
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-16,38.382996
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-17,38.2592612
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-18,38.2422653
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-19,38.3231016
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-20,38.2832497
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-21,38.5150884
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-22,38.7820396
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-23,38.9220568
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-24,39.2828324
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-25,39.5583626
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-26,39.8817968
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-27,40.3215661
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-28,40.5822607
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-29,40.9457739
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-30,41.5912752
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-07-31,42.3758826
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-01,43.3570334
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-02,44.0295467
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-03,44.9074941
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-04,45.8583208
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-05,46.8118823
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-06,47.6990165
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-07,48.3969596
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-08,49.0563111
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-09,50.0014923
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-10,50.8799286
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-11,51.7962798
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-12,52.6149527
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-13,53.2963624
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-14,53.9582326
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-15,54.6149415
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-16,55.2786937
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-17,55.8524816
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-18,56.3407905
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-19,56.9345698
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-20,57.5303132
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-21,58.0989785
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-22,58.5429839
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-23,59.0476847
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-24,59.6161258
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-25,60.0914663
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-26,60.4433945
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-27,60.8678252
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-28,61.2609492
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-29,61.6516977
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-30,61.9986636
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-08-31,62.3276107
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-01,62.6296516
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-02,62.9963185
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-03,63.0678047
fb-survey,smoothed_wwearing_mask_7d,People Wearing Masks,US,nation,United States,2021-09-04,63.2549438
