week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2021-04-05,Indiana,1001,0.6103896103896104,0.007992007992007992,0.06993006993006994,0.001998001998001998,0,0.3096903096903097
2021-04-19,Indiana,1438,0.7364394993045897,0.0076495132127955496,0.11474269819193324,0.013908205841446454,0,0.127260083449235
2021-05-03,Indiana,1463,0.7511961722488039,0.005468215994531784,0.13260423786739575,0.021189336978810664,0,0.08954203691045792
2021-05-17,Indiana,543,0.716390423572744,0.001841620626151013,0.13627992633517497,0.06813996316758748,0,0.0773480662983426
2021-05-31,Indiana,339,0.5457227138643068,0.0029498525073746312,0.12979351032448377,0.22418879056047197,0,0.09734513274336282
2021-06-14,Indiana,252,0.24206349206349206,0,0.03968253968253968,0.6587301587301587,0,0.05952380952380951
2021-06-28,Indiana,366,0.08469945355191257,0,0.02459016393442623,0.8469945355191257,0,0.043715846994535484
2021-07-12,Indiana,706,0.0113314447592068,0,0.012747875354107648,0.9589235127478754,0,0.016997167138810224
2021-07-26,Indiana,1292,0.0046439628482972135,0,0.00696594427244582,0.9845201238390093,0,0.0038699690402475813
2021-08-09,Indiana,1552,0,0,0.001288659793814433,0.9961340206185567,0,0.0025773195876288525
2021-08-23,Indiana,2109,0.001422475106685633,0,4.74158368895211e-4,0.9957325746799431,0,0.002370791844476067
2021-09-06,Indiana,2054,4.868549172346641e-4,0,0,0.9975657254138267,0,0.0019474196689386325
2021-09-20,Indiana,2185,0,0,0,0.9990846681922196,0,9.153318077803618e-4
2021-10-04,Indiana,2426,0,0,4.1220115416323167e-4,0.9987633965375103,0,8.244023083264287e-4
2021-10-18,Indiana,2049,0,0,0,0.9960956564177648,0,0.003904343582235237
2021-11-01,Indiana,2104,0,0,0,0.9966730038022814,0,0.0033269961977185902
2021-11-15,Indiana,2161,0,0,0,0.99537251272559,0,0.00462748727440998
2021-11-29,Indiana,2106,0,0,0,0.9947768281101614,0.004273504273504274,9.496676163342887e-4
2021-12-13,Indiana,1284,0,0,0,0.721183800623053,0.2772585669781931,0.0015576323987538943
2021-12-27,Indiana,860,0,0,0,0.15232558139534882,0.8441860465116279,0.0034883720930233286
2022-01-10,Indiana,1338,0,0,0,0.029895366218236172,0.9693572496263079,7.473841554559435e-4
2022-01-24,Indiana,950,0,0,0,0.00631578947368421,0.9936842105263158,0
2022-02-07,Indiana,850,0,0,0,0.001176470588235294,0.9988235294117647,0
2022-02-21,Indiana,384,0,0,0,0,0.9973958333333334,0.0026041666666666297
2022-03-07,Indiana,78,0,0,0,0,1,0
2020-04-27,Virginia,151,0,0,0,0,0,1
2020-05-11,Virginia,86,0,0,0,0,0,1
2020-05-25,Virginia,84,0,0,0,0,0,1
2020-06-08,Virginia,73,0,0,0,0,0,1
2020-06-22,Virginia,54,0,0,0,0,0,1
2020-07-06,Virginia,99,0,0,0,0,0,1
2020-07-20,Virginia,82,0,0,0,0,0,1
2020-08-03,Virginia,94,0,0,0,0,0,1
2020-08-17,Virginia,94,0,0,0,0,0,1
2020-08-31,Virginia,60,0,0,0,0,0,1
2020-09-14,Virginia,75,0,0,0,0,0,1
