Date,pct_dose_1_cumulative,pct_dose_2_cumulative,pct_dose_3_cumulative,Admin_Dose_1_Cumulative,Series_Complete_Cumulative,Booster_Cumulative,pop_total,total_dose_1,total_dose_2,total_dose_3,pct_1st_dose_18a,pct_2nd_dose_18a,age_pct,rel_dose1_age18,rel_dose2_age18,pct_dose_1,pct_dose_2,pct_dose_3
2021-08-31,0.569,0.569,0.006254388006831928,206949577,177443008,1524780,333239062,0.6210243653848719,0.5324796166903146,0.00457563405336917,0.602,0.491,0.09086016494337025,0.9693661530122384,0.9221010243581985,0.0010000000000000009,0.0010000000000000009,4.384445848255253e-4
2021-09-01,0.5710000000000001,0.5710000000000001,0.006730282297518217,207376701,177842351,1640800,333239062,0.6223060998773307,0.5336779846055383,0.004923792517457032,0.604,0.493,0.09086016494337025,0.9705834477905019,0.9237780351093086,0.002000000000000113,0.002000000000000113,4.758942906862894e-4
2021-09-02,0.5720000000000001,0.573,0.007188551025654266,207781890,178234966,1752523,333239062,0.6235220107539494,0.53485616281082915,0.005259056334758258,0.606,0.495,0.09086016494337025,0.9718983284443123,0.9254824650399968,0.0010000000000000009,0.0019999999999998908,4.582687281360484e-4
2021-09-03,0.574,0.574,0.007666689017228379,208238159,178715135,1869090,333239062,0.6248912049812456,0.5362970773216257,0.0056088562630751855,0.608,0.496,0.09086016494337025,0.9729693667528053,0.9248605315492725,0.0019999999999998908,0.0010000000000000009,4.781379915741136e-4
2021-09-04,0.5770000000000001,0.5770000000000001,0.007845409842426555,208485925,178987652,1912661,333239062,0.6256347132557947,0.5371148596019034,0.005739606240999442,0.609,0.497,0.09086016494337025,0.9734114605482361,0.9253141876736838,0.0030000000000001137,0.0030000000000001137,1.7872082519817568e-4
2021-09-05,0.578,0.578,0.007955564481078342,208655345,179157981,1939516,333239062,0.6261431170395024,0.5376259911570631,0.005820194032355066,0.61,0.498,0.09086016494337025,0.9742181673802797,0.9262945024815835,9.999999999998899e-4,9.999999999998899e-4,1.1015463865178717e-4
2021-09-06,0.578,0.578,0.008001435243470557,208737689,179242511,1950699,333239062,0.6263902189233745,0.5378796528961541,0.005853752523166087,0.61,0.499,0.09086016494337025,0.9738338524002726,0.9277168179037617,0,0,4.587076239221527e-5
2021-09-07,0.579,0.579,0.008372708263873752,209094660,179712690,2041213,333239062,0.6274614348782437,0.5392905889286173,0.006125371340770369,0.612,0.501,0.09086016494337025,0.9753587487313162,0.9289982252338441,0.0010000000000000009,0.0010000000000000009,3.7127302040319485e-4
2021-09-08,0.58,0.58,0.008757931607347315,209463365,180106049,2135128,333239062,0.6285678627915475,0.5404709997653276,0.006407196044742197,0.614,0.502,0.09086016494337025,0.9768237231746946,0.9288194930310197,0.0010000000000000009,0.0010000000000000009,3.852233434735626e-4
2021-09-09,0.58,0.581,0.009148852392380639,209838127,180495222,2230432,333239062,0.6296924668453184,0.541638849049455,0.006693188927533351,0.616,0.504,0.09086016494337025,0.9782553110188598,0.9305093253271824,0,0.0010000000000000009,3.9092078503332427e-4
2021-09-10,0.5820000000000001,0.584,0.009577780732124348,210290164,180985437,2335002,333239062,0.6310489614809923,0.5431099100861111,0.007006987674212094,0.618,0.506,0.09086016494337025,0.9793217923212043,0.9316714547148895,0.002000000000000113,0.0030000000000000027,4.2892833974370916e-4
2021-09-11,0.5820000000000001,0.584,0.00977370873323555,210550885,181279710,2382768,333239062,0.631831345750217,0.5439929788303149,0.007150326212357422,0.619,0.507,0.09086016494337025,0.9796918183364557,0.9319973229988067,0,0,1.9592800111120114e-4
2021-09-12,0.585,0.5870000000000001,0.00986516723176539,210709128,181449982,2405065,333239062,0.6323062090482058,0.5445039393370997,0.0072172361354204025,0.62,0.508,0.09086016494337025,0.98053757993816,0.9329592741210633,0.0029999999999998916,0.0030000000000001137,9.14584985298398e-5
2021-09-13,0.586,0.588,0.010169342520682235,211048549,181826476,2479221,333239062,0.6333247601087054,0.5456337408607878,0.007439767070284215,0.622,0.509,0.09086016494337025,0.982118557773169,0.9328601988524489,0.0010000000000000009,9.999999999998899e-4,3.041752889168456e-4
2021-09-14,0.588,0.589,0.010467484017997639,211366646,182197422,2551906,333239062,0.6342793210719097,0.546746893675988,0.007657883756736778,0.624,0.511,0.09086016494337025,0.983793699825279,0.9346189359474033,0.0020000000000000018,0.0010000000000000009,2.9814149731540417e-4
2021-09-15,0.589,0.591,0.010776569197157129,211680957,182579192,2627259,333239062,0.6352225208220037,0.5478925276773225,0.007884006707472968,0.625,0.513,0.09086016494337025,0.9839071813625636,0.9363150145061437,0.0010000000000000009,0.0020000000000000018,3.0908517915948994e-4
2021-09-16,0.591,0.593,0.011086499353250606,211993649,182963893,2702818,333239062,0.6361608621980817,0.5490469571661439,0.008110747833037652,0.627,0.515,0.09086016494337025,0.9855997708403048,0.9379889885158927,0.0020000000000000018,0.0020000000000000018,3.099301560934766e-4
2021-09-17,0.5920000000000001,0.594,0.011447882862062312,212346989,183436005,2790921,333239062,0.6372211820713863,0.5504636938391094,0.008375131604469586,0.628,0.517,0.09086016494337025,0.9855290716460312,0.9392081726485485,0.001000000000000112,0.0010000000000000009,3.6138350881170615e-4
2021-09-18,0.593,0.595,0.01164245315751744,212553809,183706605,2838356,333239062,0.6378418175958015,0.5512757234924638,0.008517476861701165,0.629,0.518,0.09086016494337025,0.9861379148373672,0.9396386924465782,9.999999999998899e-4,0.0010000000000000009,1.9457029545512892e-4
2021-09-19,0.595,0.597,0.011735240648894914,212673961,183868235,2860977,333239062,0.6382023755666435,0.5517607506649386,0.00858535905973712,0.63,0.519,0.09086016494337025,0.9871476887572522,0.9406250795739678,0.0020000000000000018,0.0020000000000000018,9.278749137747386e-5
2021-09-20,0.596,0.598,0.012078190534690381,212941336,184212335,2944586,333239062,0.6390047274829984,0.5527933426964213,0.00883625701719206,0.631,0.52,0.09086016494337025,0.987473132609631,0.9406770303411007,0.0010000000000000009,0.0010000000000000009,3.4294988579546687e-4
2021-09-21,0.596,0.598,0.01243300701402968,213205200,184548046,3031088,333239062,0.6397965434196307,0.5538007606083106,0.009095836429884081,0.633,0.522,0.09086016494337025,0.9893770238530768,0.9425772536437477,0,0,3.548164793392983e-4
2021-09-22,0.597,0.599,0.012775378541826638,213461828,184877470,3114556,333239062,0.6405666452151999,0.5547893121845362,0.009346311267674856,0.634,0.523,0.09086016494337025,0.9897486931855564,0.942700208013448,0.0010000000000000009,0.0010000000000000009,3.423715277969582e-4
2021-09-23,0.598,0.601,0.013186049637234505,213719943,185199460,3214675,333239062,0.6413412092727593,0.5557555554516596,0.009646753236869933,0.635,0.525,0.09086016494337025,0.9901125809770593,0.9446599226045259,0.0010000000000000009,0.0020000000000000018,4.10671095407867e-4
2021-09-24,0.598,0.602,0.014226782295483843,214046508,185604510,3468399,333239062,0.6423211814226029,0.5569710492103114,0.01040814056786656,0.637,0.527,0.09086016494337025,0.9917156999076108,0.9461892153051669,0,0.0010000000000000009,0.0010407326582493378
2021-09-25,0.6,0.604,0.015200253149055761,214254736,185829489,3705725,333239062,0.6429460421419624,0.5576461771459433,0.011120319982175438,0.637,0.528,0.09086016494337025,0.9907518800144516,0.9468369400509948,0.0020000000000000018,0.0020000000000000018,9.734708535719186e-4
2021-09-26,0.602,0.607,0.0157772288309279,214377402,185972251,3846388,333239062,0.6433141442463909,0.5580745843054857,0.0115424283603343,0.638,0.528,0.09086016494337025,0.9917394257627957,0.9461100986297145,0.0020000000000000018,0.0030000000000000027,5.76975681872139e-4
2021-09-27,0.602,0.608,0.0178268311337216,214684693,186190323,4346068,333239062,0.6442362780387373,0.5587289853792711,0.013041892429765632,0.639,0.529,0.09086016494337025,0.991872115530845,0.9467917610197175,0,0.0010000000000000009,0.002049602302793701
2021-09-28,0.603,0.608,0.019996424262971484,214984386,186488413,4875001,333239062,0.6451356113827976,0.5596235083628941,0.014629140325692071,0.64,0.531,0.09086016494337025,0.9920394855094268,0.9488522052144871,0.0010000000000000009,0,0.0021695931292498825
2021-09-29,0.604,0.61,0.02217306023394786,215280990,186793237,5405651,333239062,0.6460256751052792,0.560538239061542,0.016221540678805536,0.641,0.532,0.09086016494337025,0.992220626363712,0.9490877926378031,0.0010000000000000009,0.0020000000000000018,0.0021766359709763754
2021-09-30,0.605,0.61,0.02440401673665634,215578554,187103755,5949544,333239062,0.6469186196424955,0.5614700565925852,0.01785368127101498,0.642,0.534,0.09086016494337025,0.9923968494751106,0.9510747612093622,0.0010000000000000009,0,0.0022309565027084817
2021-10-01,0.605,0.611,0.026834256537233314,215901298,187470940,6542021,333239062,0.6478871255495252,0.5625719232158923,0.019631615095591644,0.643,0.535,0.09086016494337025,0.9924568256463191,0.9509895142681849,0,0.0010000000000000009,0.0024302398005769735
2021-10-02,0.606,0.612,0.027841157303484892,216079352,187673829,6787497,333239062,0.6484214386607534,0.5631807624041386,0.02036825142665898,0.644,0.536,0.09086016494337025,0.9931812269040866,0.9517370545682211,0.0010000000000000009,0.0010000000000000009,0.0010069007662515776
2021-10-03,0.607,0.613,0.02836087554350485,216188323,187801561,6914201,333239062,0.6487484441424817,0.5635640668079902,0.020748470958065535,0.644,0.537,0.09086016494337025,0.9926806080456066,0.9528641580034578,0.0010000000000000009,0.0010000000000000009,5.197182400199576e-4
2021-10-04,0.608,0.615,0.03029225901030588,216443096,188050800,7385060,333239062,0.6495129793637457,0.564311995332648,0.022161447567632393,0.645,0.538,0.09086016494337025,0.9930517487607922,0.953373319103136,0.0010000000000000009,0.0020000000000000018,0.0019313834668010302
2021-10-05,0.608,0.615,0.03236927794332667,216694450,188301699,7891424,333239062,0.650267254683366,0.565064905266118,0.02368096930965434,0.646,0.539,0.09086016494337025,0.9934376909607053,0.9538727232514242,0,0,0.002077018933020789
2021-10-06,0.609,0.616,0.0344820648319998,216949561,188553983,8406508,333239062,0.6510328041914846,0.5658219713750124,0.025226658452183495,0.647,0.54,0.09086016494337025,0.9938055284380134,0.954363788114728,0.0010000000000000009,0.0010000000000000009,0.0021127868886731335
2021-10-07,0.61,0.617,0.03652205654762682,217204607,188801243,8903845,333239062,0.6517981586444389,0.5665639612201285,0.026719091533152856,0.648,0.542,0.09086016494337025,0.9941727993642419,0.9566439750823039,0.0010000000000000009,0.0010000000000000009,0.002039991715627021
2021-10-08,0.611,0.618,0.038744333578527926,217495397,189104191,9445622,333239062,0.6526707754326833,0.5674730623266488,0.02834488232955115,0.649,0.543,0.09086016494337025,0.9943757625270571,0.9568736140067885,0.0010000000000000009,0.0010000000000000009,0.002222277030901103
2021-10-09,0.611,0.619,0.03964041520970389,217646665,189269098,9664081,333239062,0.6531247078111149,0.5679679232802546,0.029000444731776372,0.65,0.544,0.09086016494337025,0.9952157562349968,0.9578005688387653,0,0.0010000000000000009,8.960816311759656e-4
2021-10-10,0.612,0.62,0.040104159880591767,217742093,189371715,9777139,333239062,0.6534110727991426,0.5682758613694573,0.029339714682068096,0.65,0.544,0.09086016494337025,0.9947795913764824,0.9572815545764056,0.0010000000000000009,0.0010000000000000009,4.637446708878751e-4
2021-10-11,0.612,0.621,0.041755700112711,217974309,189588364,10179774,333239062,0.6541079178766864,0.5689259922355681,0.030547961391152876,0.651,0.545,0.09086016494337025,0.9952486160284145,0.9579453346092487,0,0.0010000000000000009,0.0016515402321192335
2021-10-12,0.613,0.621,0.043628993466215196,218208873,189815790,10636471,333239062,0.6548118089469355,0.569608463247925,0.03191843998168498,0.652,0.546,0.09086016494337025,0.9957059281636087,0.9585531733266237,0.0010000000000000009,0,0.0018732933535041962
