date,age_group.x,cases,age_class,age_group.y,clinical_fraction,cases_adj,pop,age_pct,incid_per100K,mean_incid_per100K,incid_OR
2020-07-28,0 - 9 Years,1938,00,a00-09,0.29,6682.758620689656,39888000,0.11992820182862847,16.753807211917508,37.28713569536268,0.44931869663566415
2020-07-28,10 - 19 Years,4655,10,a10-19,0.21,22166.666666666668,43455000,0.1306528281804816,51.010624017182536,37.28713569536268,1.3680488743877053
2020-07-28,20 - 29 Years,8937,20,a20-29,0.27,33100,44501000,0.13379775645747582,74.38035100334824,37.28713569536268,1.994799268333147
2020-07-28,30 - 39 Years,7191,30,a30-39,0.33,21790.90909090909,45194000,0.13588134660657428,48.2163762687726,37.28713569536268,1.2931102207126401
2020-07-28,40 - 49 Years,6563,40,a40-49,0.4,16407.5,41153000,0.1237315806722209,39.86951133574709,37.28713569536268,1.0692564765897419
2020-07-28,50 - 59 Years,5985,50,a50-59,0.49,12214.285714285714,43033000,0.12938403302475354,28.383532903320045,37.28713569536268,0.7612151583649276
2020-07-28,60 - 69 Years,3965,60,a60-69,0.63,6293.650793650793,39034000,0.1173605452812546,16.123509744455585,37.28713569536268,0.4324148112685639
2020-07-28,70 - 79 Years,2183,70,a70-79,0.69,3163.7681159420295,24136000,0.07256786701102529,13.108087984512883,37.28713569536268,0.3515445136791
2020-07-28,80+ Years,1516,80,a80+,0.69,2197.1014492753625,12205000,0.0366958409375855,18.00165054711481,37.28713569536268,0.48278448347947617
2020-07-29,0 - 9 Years,2031,00,a00-09,0.29,7003.44827586207,39888000,0.11992820182862847,17.557782480600856,40.60351967021314,0.4324202094598537
2020-07-29,10 - 19 Years,5119,10,a10-19,0.21,24376.190476190477,43455000,0.1306528281804816,56.09524905348171,40.60351967021314,1.3815366133058005
2020-07-29,20 - 29 Years,9456,20,a20-29,0.27,35022.22222222222,44501000,0.13379775645747582,78.69985443523116,40.60351967021314,1.938252030228936
2020-07-29,30 - 39 Years,7830,30,a30-39,0.33,23727.272727272728,45194000,0.13588134660657428,52.500935361492076,40.60351967021314,1.293014393528227
