date,pop_age,pop_age_frac,infections,infections_lo,infections_hi,infections_pct,infections_lo_pct,infections_hi_pct
2021-02-03,44084236.445759006,2061013.2595846215,5298.516052373141,3448.519718548308,8554.202169806293,0.0025708306473685707,0.0016732156877260099,0.004150483811797657
2021-02-04,44084236.445759006,2061013.2595846215,5030.756080395459,3271.703113621261,8127.341270373577,0.002440913981023762,0.0015874245827417156,0.003943371655945371
2021-02-05,44084236.445759006,2061013.2595846215,5004.488540972788,3251.7862812621374,8090.608953011624,0.0024281690172053513,0.0015777609707942905,0.003925549200320144
2021-02-06,44084236.445759006,2061013.2595846215,4798.146310895994,3114.992896183156,7762.574687830111,0.002328052130951849,0.00151138906151965,0.0037663875531759494
2021-02-07,44084236.445759006,2061013.2595846215,4723.491961459772,3063.7044874804997,7647.361660003555,0.0022918299722204352,0.0014865040160381897,0.0037104863951941828
2021-02-08,44084236.445759006,2061013.2595846215,4680.519329940907,3033.004492337907,7583.251925646505,0.0022709797271678995,0.0014716084325188579,0.0036793804651091087
2021-02-09,44084236.445759006,2061013.2595846215,4727.4340085319145,3060.4275812879173,7665.005179906477,0.0022937426465100405,0.001484914066930709,0.003719046999945691
2021-02-10,44084236.445759006,2061013.2595846215,4591.345868839826,2969.6223916043973,7450.24522671205,0.002227712921053778,0.0014408555489851132,0.003614845849275894
2021-02-11,44084236.445759006,2061013.2595846215,4461.052653747369,2882.697005310181,7244.365022358286,0.00216449488279685,0.001398679504803944,0.003514953137088658
2021-02-12,44084236.445759006,2061013.2595846215,4270.388823855855,2756.7863103102454,6940.20863002248,0.002071985128672347,0.001337587857569558,0.0033673769917526956
2021-02-13,44084236.445759006,2061013.2595846215,4293.261861400434,2768.9501301363016,6982.507962027706,0.002083083086163988,0.0013434897215044402,0.0033879005530682354
2021-02-14,44084236.445759006,2061013.2595846215,4106.379070813311,2645.988422071831,6683.393040512241,0.0019924078856440324,0.0012838289175321005,0.003242770520486228
2021-02-15,44084236.445759006,2061013.2595846215,4138.254623824248,2664.0776769737186,6740.378149073191,0.0020078738477685852,0.0012926057921192797,0.0032704195946956947
2021-02-16,44084236.445759006,2061013.2595846215,4160.367960126943,2675.7867781965483,6781.309667592214,0.002018603199557012,0.0012982870273895418,0.003290279495319174
2021-02-17,44084236.445759006,2061013.2595846215,3952.9049236026904,2540.0513777154565,6447.054681113572,0.0019179424999911754,0.0012324284503765787,0.003128099565168696
2021-02-18,44084236.445759006,2061013.2595846215,3957.522997558875,2540.6618034731086,6458.890887200402,0.0019201831813330874,0.0012327246278780156,0.0031338424714948865
2021-02-19,44084236.445759006,2061013.2595846215,3851.7098747579057,2470.558015313274,6290.062539842742,0.0018688428406977754,0.001198710393455301,0.0030519272550000223
2021-02-20,44084236.445759006,2061013.2595846215,3566.7638311575815,2285.908340916794,5828.179462321043,0.0017305875227005723,0.0011091186969740786,0.002827822400082792
2021-02-21,44084236.445759006,2061013.2595846215,3536.7554103511393,2264.8747872216563,5782.130709714391,0.0017160274898299006,0.0010989132538031907,0.0028054796265016397
2021-02-22,44084236.445759006,2061013.2595846215,3566.0901015017516,2281.8719663166607,5833.420447663759,0.0017302606302593438,0.0011071602551341912,0.0028303653169312612
2021-02-23,44084236.445759006,2061013.2595846215,3404.514201168087,2176.7612926146367,5571.5979717480195,0.001651864288274514,0.0010561607415632752,0.002703329513207947
2021-02-24,44084236.445759006,2061013.2595846215,3410.7129032502303,2178.9651694356776,5584.527222356676,0.001654871887596506,0.0010572300587114263,0.0027096027628090986
2021-02-25,44084236.445759006,2061013.2595846215,3569.5570114718025,2278.8287862976867,5846.968564139966,0.001731942768864677,0.001105683709554088,0.002836938839160292
2021-02-26,44084236.445759006,2061013.2595846215,3395.8035248660403,2166.4941690583787,5564.952805471,0.001647637883489616,0.0010511791513146383,0.002700105290245714
2021-02-27,44084236.445759006,2061013.2595846215,2920.99666571767,1862.5034241570247,4788.733989566886,0.0014172624325116522,9.036833778218367e-4,0.002323485289236815
2021-02-28,44084236.445759006,2061013.2595846215,2915.7142293098505,1858.1966712164888,4781.949937763425,0.0014146994036794728,9.015937488878608e-4,0.002320193679262007
2021-03-01,44084236.445759006,2061013.2595846215,2894.945377479328,1843.9509630357277,4749.45489554039,0.0014046223933866285,8.946817563936291e-4,0.002304427142063899
2021-03-02,44084236.445759006,2061013.2595846215,2852.4504819565504,1816.0901953072223,4680.847326492965,0.0013840039449971495,8.811637610100766e-4,0.002271138870516703
2021-03-03,44084236.445759006,2061013.2595846215,2765.142867265858,1759.7892411056464,4538.35615027659,0.001341642444271876,8.538466372896193e-4,0.0022020024030273604
2021-03-04,44084236.445759006,2061013.2595846215,2685.1479840997476,1708.3995001653316,4407.707573208755,0.0013028290679900404,8.28912425585095e-4,0.0021386119437664794
